2025-06-30 11:50:51 - INFO - Script started.
2025-07-02 23:01:10 - INFO - Successfully processed: templates/freelancer.html
2025-07-02 23:01:10 - INFO - Processing file: templates/pricing.html
2025-07-02 23:01:10 - INFO - Successfully processed: templates/pricing.html
2025-07-02 23:01:10 - INFO - Processing file: templates/404.html
2025-07-02 23:01:10 - INFO - Successfully processed: templates/404.html
2025-07-02 23:01:10 - INFO - Processing file: templates/bookmarks.html
2025-07-02 23:01:10 - INFO - Successfully processed: templates/bookmarks.html
2025-07-02 23:01:10 - INFO - Processing file: templates/dashboard.html
2025-07-02 23:01:10 - INFO - Successfully processed: templates/dashboard.html
2025-07-02 23:01:10 - INFO - Processing file: templates/alert-jobs.html
2025-07-02 23:01:10 - INFO - Successfully processed: templates/alert-jobs.html
2025-07-02 23:01:10 - INFO - Processing file: templates/contact-us.html
2025-07-02 23:01:10 - INFO - Successfully processed: templates/contact-us.html
2025-07-02 23:01:10 - INFO - Processing file: templates/blog-details.html
2025-07-02 23:01:10 - INFO - Successfully processed: templates/blog-details.html
2025-07-02 23:01:10 - INFO - Processing file: templates/change-password.html
2025-07-02 23:01:10 - INFO - Successfully processed: templates/change-password.html
2025-07-02 23:01:10 - INFO - Processing file: templates/post-job.html
2025-07-02 23:01:10 - INFO - Successfully processed: templates/post-job.html
2025-07-02 23:01:10 - INFO - Processing file: templates/coming-soon.html
2025-07-02 23:01:10 - INFO - Successfully processed: templates/coming-soon.html
2025-07-02 23:01:10 - INFO - Processing file: templates/about-us.html
2025-07-02 23:01:10 - INFO - Successfully processed: templates/about-us.html
2025-07-02 23:01:10 - INFO - Processing file: templates/footer.html
2025-07-02 23:01:10 - INFO - Successfully processed: templates/footer.html
2025-07-02 23:01:10 - INFO - Processing file: templates/job-listing.html
2025-07-02 23:01:10 - INFO - Successfully processed: templates/job-listing.html
2025-07-02 23:01:10 - INFO - Processing file: templates/terms-conditions.html
2025-07-02 23:01:10 - INFO - Successfully processed: templates/terms-conditions.html
2025-07-02 23:01:10 - INFO - Processing file: templates/applied-jobs.html
2025-07-02 23:01:10 - INFO - Successfully processed: templates/applied-jobs.html
2025-07-02 23:01:10 - INFO - Processing file: templates/faq.html
2025-07-02 23:01:10 - INFO - Successfully processed: templates/faq.html
2025-07-02 23:01:10 - INFO - Processing file: templates/job-details.html
2025-07-02 23:01:10 - INFO - Successfully processed: templates/job-details.html
2025-07-02 23:01:10 - INFO - Processing file: templates/heng.html
2025-07-02 23:01:10 - INFO - Successfully processed: templates/heng.html
2025-07-02 23:01:10 - INFO - Finished processing all files.
